시도명,시군구명,id,happy,,       분류  건강지표N  안전지표N  경제지표N  환경지표N  교육지표N  관계지표N
서울,강남구,11680,0.75469508,,1    강남구 0.72804997 0.61323439 0.99225884 0.32800673 0.19972365 0.32491690
서울,강동구,11740,0.4477503,,2    강동구 0.43643268 0.26546895 0.33615596 0.48489358 0.55634015 0.49450268
서울,강북구,11305,0.01913987,,3    강북구 0.04380334 0.47330246 0.00000000 1.00000000 0.39147402 0.00000000
서울,강서구,11500,0.15280836,,4    강서구 0.15482909 0.23600960 0.28490632 0.74794591 0.48455099 0.25677576
서울,관악구,11620,0,,5    관악구 0.08254815 0.52747866 0.17779393 0.35077958 0.37925081 0.10074150
서울,광진구,11215,0.38798294,,6    광진구 0.51777494 0.46565865 0.36048532 0.53891441 0.60686205 0.40213500
서울,구로구,11530,0.49635814,,7    구로구 0.37480774 0.29498410 0.58760150 0.39102025 0.68814607 0.59754538
서울,금천구,11545,0.1858949,,8    금천구 0.15769068 0.06198739 0.80160511 0.30930970 0.57980158 0.45403989
서울,노원구,11350,0.1794705,,9    노원구 0.12055647 0.00000000 0.02110651 0.91324319 1.00000000 0.62356175
서울,도봉구,11320,0.2348985,,10   도봉구 0.26210055 0.23589801 0.09099814 0.67904509 0.71981852 0.67361289
서울,동대문구,11230,0.13765334,,11 동대문구 0.23883378 0.53272332 0.39789567 0.05317979 0.71272313 0.06839683
서울,동작구,11590,0.25679727,,12   동작구 0.39845921 0.32896279 0.26250434 0.50896034 0.57696064 0.20634109
서울,마포구,11440,0.24203204,,13   마포구 0.01667014 0.29336607 0.72018073 0.27929094 0.58009697 0.61218358
서울,서대문구,11410,0.45656431,,14 서대문구 0.64882221 0.48914802 0.35710449 0.34211037 0.39948099 0.29346714
서울,서초구,11650,0.5925267,,15   서초구 0.61771630 0.16336551 0.90909665 0.55994048 0.08513383 0.55248018
서울,성동구,11200,0.09402192,,16   성동구 0.02306190 0.34637059 0.60087207 0.33732290 0.19928620 0.50351572
서울,성북구,11290,0.08597112,,17   성북구 0.00000000 0.22847738 0.16332270 0.53865563 0.72727873 0.40507543
서울,송파구,11710,0.52893853,,18   송파구 0.57616841 0.21687218 0.54996998 0.57216795 0.34589991 0.62266684
서울,양천구,11470,0.51287767,,19   양천구 0.56004764 0.34938347 0.23507852 0.50249078 0.83532125 0.84543595
서울,영등포구,11560,0.73222299,,20 영등포구 0.68377815 0.57557329 0.92309394 0.08818011 0.39374557 0.48382767
서울,용산구,11170,0.50910393,,21   용산구 0.61614136 0.37761535 0.64482290 0.54848936 0.00000000 0.52429046
서울,은평구,11380,0.20433105,,22   은평구 0.31814760 0.25129722 0.02578281 0.47143689 0.43483319 0.67354896
서울,종로구,11110,0.83968701,,23   종로구 0.69580863 0.69569826 1.00000000 0.44892282 0.72373297 1.00000000
서울,중구,11140,1,,24     중구 1.00000000 1.00000000 0.97769282 0.00000000 0.37904999 0.56878036
서울,중랑구,11260,0.26721955,,25   중랑구 0.33388375 0.35903588 0.13434864 0.67335188 0.51353045 0.24782664
,,,,,    여가지표N   지표AHP
,,,,,1  0.29061362 0.5994068
,,,,,2  0.14947502 0.3947503
,,,,,3  0.15337941 0.2327546
,,,,,4  0.08753232 0.2833224
,,,,,5  0.09507730 0.2225206
,,,,,6  0.34321743 0.4701732
,,,,,7  0.39782620 0.4462719
,,,,,8  0.16393183 0.3305221
,,,,,9  0.00000000 0.2835032
,,,,,10 0.29705060 0.3482330
,,,,,11 0.15200760 0.3166298
,,,,,12 0.08827099 0.3570130
,,,,,13 0.15337941 0.3129723
,,,,,14 0.12193320 0.4563335
,,,,,15 0.22861816 0.5073594
,,,,,16 0.33234844 0.2728521
,,,,,17 0.21822403 0.2314753
,,,,,18 0.07233683 0.4646499
,,,,,19 0.23130903 0.4938956
,,,,,20 0.42040838 0.5821869
,,,,,21 0.24676832 0.4838395
,,,,,22 0.18477286 0.3035485
,,,,,23 0.93003746 0.7554383
,,,,,24 1.00000000 0.7909017
,,,,,25 0.05508363 0.3298506
